project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.portion_id	portions.submitter_id	analytes.a260_a280_ratio	analytes.amount	analytes.analyte_id	analytes.analyte_quantity	analytes.analyte_type	analytes.analyte_volume	analytes.concentration	analytes.dna_integrity_number	analytes.experimental_protocol_type	analytes.normal_tumor_genotype_snp_match	analytes.ribosomal_rna_28s_16s_ratio	analytes.ribosomal_rna_28s_18s_ratio	analytes.rna_integrity_number	analytes.spectrophotometer_method	analytes.state	analytes.submitter_id	analytes.well_number
TCGA-PRAD	00e41e6a-9fe7-44f9-978b-7b05b179506a	TCGA-G9-6342	56aeaeeb-d549-405a-bf32-e355c2366428	TCGA-G9-6342-11A	913dabe4-663a-426a-ac5f-fc059709395e	TCGA-G9-6342-11A-02	'--	'--	a0da0567-4ac1-4744-b7dc-ef42f302dcd9	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	'--	PicoGreen	released	TCGA-G9-6342-11A-02W	'--
TCGA-PRAD	00e41e6a-9fe7-44f9-978b-7b05b179506a	TCGA-G9-6342	56aeaeeb-d549-405a-bf32-e355c2366428	TCGA-G9-6342-11A	913dabe4-663a-426a-ac5f-fc059709395e	TCGA-G9-6342-11A-02	1.9	'--	b746998a-dca4-4792-bb85-79b9970cc985	'--	DNA	'--	0.13	'--	aDNA Preparation Type	Yes	'--	'--	'--	UV Spec	released	TCGA-G9-6342-11A-02D	'--
TCGA-PRAD	00e41e6a-9fe7-44f9-978b-7b05b179506a	TCGA-G9-6342	b9cbe7e7-9c36-4964-b2cd-085b261f6bc3	TCGA-G9-6342-10A	3b539273-c43c-4812-b930-e6b1d012fc55	TCGA-G9-6342-10A-01	1.8	'--	21b8f912-6e2e-4f68-a733-f11b1167e84e	'--	DNA	'--	0.14	'--	Pre-extracted DNA received by TSS	Yes	'--	'--	'--	UV Spec	released	TCGA-G9-6342-10A-01D	'--
TCGA-PRAD	00e41e6a-9fe7-44f9-978b-7b05b179506a	TCGA-G9-6342	b9cbe7e7-9c36-4964-b2cd-085b261f6bc3	TCGA-G9-6342-10A	3b539273-c43c-4812-b930-e6b1d012fc55	TCGA-G9-6342-10A-01	'--	'--	5ed2b03b-d879-4e69-bb47-25f98242d49f	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	'--	PicoGreen	released	TCGA-G9-6342-10A-01W	'--
TCGA-PRAD	929837f9-297a-47c0-ac9a-a142eef620d3	TCGA-HC-7821	bdf77be2-f833-45f2-bd32-dbf53eb11eb4	TCGA-HC-7821-01A	aea59da0-3593-4bc5-b3dc-870d3e3dd20b	TCGA-HC-7821-01A-12	'--	'--	0d549d7d-1bbb-4ee0-973c-8184efb09818	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	'--	'--	'--	'--	'--	PicoGreen	released	TCGA-HC-7821-01A-12W	'--
TCGA-PRAD	929837f9-297a-47c0-ac9a-a142eef620d3	TCGA-HC-7821	bdf77be2-f833-45f2-bd32-dbf53eb11eb4	TCGA-HC-7821-01A	aea59da0-3593-4bc5-b3dc-870d3e3dd20b	TCGA-HC-7821-01A-12	'--	'--	d94e8074-2d10-45b6-88d9-f1be4456316a	'--	RNA	'--	0.14	'--	'--	'--	'--	'--	'--	UV Spec	released	TCGA-HC-7821-01A-12R	'--
TCGA-PRAD	929837f9-297a-47c0-ac9a-a142eef620d3	TCGA-HC-7821	bdf77be2-f833-45f2-bd32-dbf53eb11eb4	TCGA-HC-7821-01A	aea59da0-3593-4bc5-b3dc-870d3e3dd20b	TCGA-HC-7821-01A-12	'--	'--	f68770e4-1fc6-4e53-bec7-fd6414141dbf	'--	DNA	'--	0.13	'--	'--	'--	'--	'--	'--	PicoGreen	released	TCGA-HC-7821-01A-12D	'--
TCGA-PRAD	929837f9-297a-47c0-ac9a-a142eef620d3	TCGA-HC-7821	c0d733f9-d34a-49a8-b754-5000493bc101	TCGA-HC-7821-10A	b3011952-4a68-43bd-8a38-de28a3aa4855	TCGA-HC-7821-10A-01	'--	'--	302915e6-8fef-4f2f-81f5-8675dd3a116a	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	'--	'--	'--	'--	'--	PicoGreen	released	TCGA-HC-7821-10A-01W	'--
TCGA-PRAD	929837f9-297a-47c0-ac9a-a142eef620d3	TCGA-HC-7821	c0d733f9-d34a-49a8-b754-5000493bc101	TCGA-HC-7821-10A	b3011952-4a68-43bd-8a38-de28a3aa4855	TCGA-HC-7821-10A-01	'--	'--	7d9ee59b-d156-4233-b3c7-d7daa4fbb443	'--	DNA	'--	0.15	'--	'--	'--	'--	'--	'--	PicoGreen	released	TCGA-HC-7821-10A-01D	'--
TCGA-PRAD	92252560-5984-41f6-a4b5-a3aa8654c0c8	TCGA-HC-7077	766eec0b-6346-4a94-9f1a-2ad9364ce165	TCGA-HC-7077-10A	b56c6001-6e71-4c69-bc78-daf9d0285c14	TCGA-HC-7077-10A-01	'--	'--	08c69d60-8d1b-4fb6-9cc9-22b98ae43d9c	'--	DNA	'--	0.14	'--	Chemical Lysis DNA Extraction	Yes	'--	'--	'--	PicoGreen	released	TCGA-HC-7077-10A-01D	'--
